device,tau,experiment,stratification,counter,label,median_spearman_rho,defined_kernels
MI300A,expert,2,temporal,l1_to_l2_total_requests,TCP→TCC total,0.9591033105649982,6
MI300A,expert,2,temporal,l2_tag_requests,TCC tag requests,0.9425872674298237,6
MI300A,expert,2,temporal,second_level_read_requests,TCC reads,0.9384657273047776,6
MI300A,expert,2,temporal,l2_hits,TCC hits,0.9186828379763105,6
MI300A,expert,2,temporal,l2_misses,TCC misses,0.052508577866478265,6
MI300A,expert,2,temporal,l2_hit_rate_percent,TCC hit rate,0.918158294597661,6
MI300A,expert,3,all,l1_to_l2_read_requests,TCP→TCC reads,0.9547266392859123,6
MI300A,expert,3,all,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,expert,3,all,l1_to_l2_total_requests,TCP→TCC total,0.9547266392859123,6
MI300A,expert,3,all,l2_tag_requests,TCC tag requests,0.9392505459346547,6
MI300A,expert,3,all,second_level_read_requests,TCC reads,0.9432654849392851,6
MI300A,expert,3,all,l2_hits,TCC hits,0.9404937753907556,6
MI300A,expert,3,all,l2_misses,TCC misses,0.3549326328839414,6
MI300A,expert,3,all,l2_hit_rate_percent,TCC hit rate,0.9384746067639499,6
MI300A,expert,3,issue,l1_to_l2_read_requests,TCP→TCC reads,0.9530399844167032,6
MI300A,expert,3,issue,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,expert,3,issue,l1_to_l2_total_requests,TCP→TCC total,0.9530399844167032,6
MI300A,expert,3,issue,l2_tag_requests,TCC tag requests,0.9454135696417585,6
MI300A,expert,3,issue,second_level_read_requests,TCC reads,0.947242013649333,6
MI300A,expert,3,issue,l2_hits,TCC hits,0.9417913429619741,6
MI300A,expert,3,issue,l2_misses,TCC misses,0.5007461622174962,6
MI300A,expert,3,issue,l2_hit_rate_percent,TCC hit rate,0.9393412296822317,6
MI300A,expert,3,temporal,l1_to_l2_read_requests,TCP→TCC reads,0.9481633575813693,6
MI300A,expert,3,temporal,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,expert,3,temporal,l1_to_l2_total_requests,TCP→TCC total,0.9481633575813693,6
MI300A,expert,3,temporal,l2_tag_requests,TCC tag requests,0.9404114444918158,6
MI300A,expert,3,temporal,second_level_read_requests,TCC reads,0.9466724287781445,6
MI300A,expert,3,temporal,l2_hits,TCC hits,0.9382534651044616,6
MI300A,expert,3,temporal,l2_misses,TCC misses,0.34278212832033944,6
MI300A,expert,3,temporal,l2_hit_rate_percent,TCC hit rate,0.9356754910407676,6
MI300A,l1_to_l2,1,all,l1_to_l2_read_requests,TCP→TCC reads,0.982690989649095,6
MI300A,l1_to_l2,1,all,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,l1_to_l2,1,all,l1_to_l2_total_requests,TCP→TCC total,0.982690989649095,6
MI300A,l1_to_l2,1,all,l2_tag_requests,TCC tag requests,0.9779864589304266,6
MI300A,l1_to_l2,1,all,second_level_read_requests,TCC reads,0.9782785801840398,6
MI300A,l1_to_l2,1,all,l2_hits,TCC hits,0.9545985341016267,6
MI300A,l1_to_l2,1,all,l2_misses,TCC misses,0.10224053069104536,6
MI300A,l1_to_l2,1,all,l2_hit_rate_percent,TCC hit rate,0.9542416112368246,6
MI300A,l1_to_l2,1,issue,l1_to_l2_read_requests,TCP→TCC reads,0.9886482883084414,6
MI300A,l1_to_l2,1,issue,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,l1_to_l2,1,issue,l1_to_l2_total_requests,TCP→TCC total,0.9886482883084414,6
MI300A,l1_to_l2,1,issue,l2_tag_requests,TCC tag requests,0.9836797401098583,6
MI300A,l1_to_l2,1,issue,second_level_read_requests,TCC reads,0.9846943656319536,6
MI300A,l1_to_l2,1,issue,l2_hits,TCC hits,0.9618887291169719,6
MI300A,l1_to_l2,1,issue,l2_misses,TCC misses,0.2884151794242803,6
MI300A,l1_to_l2,1,issue,l2_hit_rate_percent,TCC hit rate,0.9607404743869443,6
MI300A,l1_to_l2,1,temporal,l1_to_l2_read_requests,TCP→TCC reads,0.9705505383166277,6
MI300A,l1_to_l2,1,temporal,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,l1_to_l2,1,temporal,l1_to_l2_total_requests,TCP→TCC total,0.9705505383166277,6
MI300A,l1_to_l2,1,temporal,l2_tag_requests,TCC tag requests,0.9624681217835591,6
MI300A,l1_to_l2,1,temporal,second_level_read_requests,TCC reads,0.9647136592152071,6
MI300A,l1_to_l2,1,temporal,l2_hits,TCC hits,0.9407335417911216,6
MI300A,l1_to_l2,1,temporal,l2_misses,TCC misses,0.11641014404743379,6
MI300A,l1_to_l2,1,temporal,l2_hit_rate_percent,TCC hit rate,0.9402913279286702,6
MI300A,l1_to_l2,2,all,l1_to_l2_read_requests,TCP→TCC reads,0.9823952154941908,6
MI300A,l1_to_l2,2,all,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,l1_to_l2,2,all,l1_to_l2_total_requests,TCP→TCC total,0.9823952154941908,6
MI300A,l1_to_l2,2,all,l2_tag_requests,TCC tag requests,0.974597935714849,6
MI300A,l1_to_l2,2,all,second_level_read_requests,TCC reads,0.9749621633726249,6
MI300A,l1_to_l2,2,all,l2_hits,TCC hits,0.9553814154860971,6
MI300A,l1_to_l2,2,all,l2_misses,TCC misses,0.006012980040660809,6
MI300A,l1_to_l2,2,all,l2_hit_rate_percent,TCC hit rate,0.9544214079787816,6
MI300A,l1_to_l2,2,issue,l1_to_l2_read_requests,TCP→TCC reads,0.9839335605003761,6
MI300A,l1_to_l2,2,issue,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,l1_to_l2,2,issue,l1_to_l2_total_requests,TCP→TCC total,0.9839335605003761,6
MI300A,l1_to_l2,2,issue,l2_tag_requests,TCC tag requests,0.9806195045459076,6
MI300A,l1_to_l2,2,issue,second_level_read_requests,TCC reads,0.9811483054584723,6
MI300A,l1_to_l2,2,issue,l2_hits,TCC hits,0.959181830001897,6
MI300A,l1_to_l2,2,issue,l2_misses,TCC misses,0.029852419956884604,6
MI300A,l1_to_l2,2,issue,l2_hit_rate_percent,TCC hit rate,0.9589671951764922,6
MI300A,l1_to_l2,2,temporal,l1_to_l2_read_requests,TCP→TCC reads,0.9809053440403478,6
MI300A,l1_to_l2,2,temporal,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,l1_to_l2,2,temporal,l1_to_l2_total_requests,TCP→TCC total,0.9809053440403478,6
MI300A,l1_to_l2,2,temporal,l2_tag_requests,TCC tag requests,0.9697562271961151,6
MI300A,l1_to_l2,2,temporal,second_level_read_requests,TCC reads,0.9698228181464352,6
MI300A,l1_to_l2,2,temporal,l2_hits,TCC hits,0.9516916702226925,6
MI300A,l1_to_l2,2,temporal,l2_misses,TCC misses,0.03893834650587018,6
MI300A,l1_to_l2,2,temporal,l2_hit_rate_percent,TCC hit rate,0.9491698254213817,6
MI300A,l1_to_l2,3,all,l1_to_l2_read_requests,TCP→TCC reads,0.9668020222254414,6
MI300A,l1_to_l2,3,all,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,l1_to_l2,3,all,l1_to_l2_total_requests,TCP→TCC total,0.9668020222254414,6
MI300A,l1_to_l2,3,all,l2_tag_requests,TCC tag requests,0.9545946136209731,6
MI300A,l1_to_l2,3,all,second_level_read_requests,TCC reads,0.9571478816758214,6
MI300A,l1_to_l2,3,all,l2_hits,TCC hits,0.9575608317782625,6
MI300A,l1_to_l2,3,all,l2_misses,TCC misses,0.40241049375279286,6
MI300A,l1_to_l2,3,all,l2_hit_rate_percent,TCC hit rate,0.9534286322085781,6
MI300A,l1_to_l2,3,issue,l1_to_l2_read_requests,TCP→TCC reads,0.958874153125012,6
