platform,case,exp,tau,status,proposal,deployed,baseJ,proposedJ,accepted,baseline_us,speedup,identity_max_deviation,rejections,exclusion,path
matrix,bf16xint16_gemm--output,5,expert,complete,1,0,0.15000000000000002,0.0,False,207.43040084838867,0.999978555581361,0.0005217276425308892,"[""n_regs increased: 210 -> 253"", ""load_instruction_count increased: 0 -> 32"", ""execution layout encodings changed"", ""instruction count increased by more than the declared 10% budget"", ""lowered memory instruction widths/counts changed""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/bf16xint16_gemm--output/report.json
matrix,bf16xint16_gemm--projection,5,expert,incomplete,0,,,,,0,,,null,"{""category"": ""preflight_incomplete"", ""message"": ""Preflight did not finish; inspect the recorded scheduler job/log before retrying""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/bf16xint16_gemm--projection/report.json
matrix,fp8_gemm--large,5,expert,failed,0,,,,,0,,,null,"{""category"": ""search"", ""message"": ""FileNotFoundError: [Errno 2] No such file or directory: '/usr/WS1/dnicho/record-replay/relay/triton/experiments/results/search-v2/shared/matrix/fp8_gemm--large/capture.json'""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/fp8_gemm--large/report.json
matrix,fp8_gemm--small,5,expert,complete,2,0,0.6666666666666667,0.0,False,14.149760007858276,1.0004523935646095,0.0005880750942992563,"[""n_regs increased: 96 -> 168"", ""load_instruction_count increased: 0 -> 48"", ""execution layout encodings changed"", ""instruction count increased by more than the declared 10% budget"", ""lowered memory instruction widths/counts changed""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/fp8_gemm--small/report.json
matrix,gather_gemv--large,5,expert,complete,0,0,0.0,0.0,True,56.513919830322266,1.000128343291201,0.0005325219998784103,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/gather_gemv--large/report.json
matrix,gather_gemv--small,5,expert,complete,0,0,0.0,0.0,True,5.71008026599884,0.9997731771810843,0.0005525160938707474,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/gather_gemv--small/report.json
matrix,gemm--asymmetric,5,expert,complete,1,0,0.11666666666666667,0.0,False,39.125120639801025,1.0001060539569615,0.008526072252093342,"[""n_regs increased: 117 -> 128"", ""load_instruction_count increased: 0 -> 16"", ""instruction count increased by more than the declared 10% budget"", ""lowered memory instruction widths/counts changed""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/gemm--asymmetric/report.json
matrix,gemm--square,5,expert,complete,0,0,0.0,0.0,True,27.49567985534668,1.002621937248686,0.003561422657125557,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/gemm--square/report.json
matrix,int4_gemm--decode,5,expert,complete,0,0,0.16874999999999998,0.16874999999999998,True,76.72383785247803,1.0000778537663997,0.00020855608324832353,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/int4_gemm--decode/report.json
matrix,int4_gemm--prefill,5,expert,complete,0,0,0.5333333333333333,0.5333333333333333,True,889.9878692626953,0.9997316845174967,0.0002064677037096896,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/int4_gemm--prefill/report.json
