Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
10,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,11,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65678.0000000000,61502.0000000000,4176.0000000000,525.7500000000,2.0000000000,344899874138521,344899874728468,344899874777429,344899874778196
11,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,12,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4245.0000000000,62.0000000000,4183.0000000000,526.7500000000,2.0000000000,344899874718666,344899874983110,344899875050950,344899875115009
12,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,13,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65695.0000000000,61503.0000000000,4192.0000000000,525.7500000000,2.0000000000,344899874972908,344899875588034,344899875637195,344899875638214
13,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,14,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,527.0000000000,2.0000000000,344899875578403,344899875848876,344899875915836,344899875978397
14,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,17,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65678.0000000000,61502.0000000000,4176.0000000000,525.7500000000,2.0000000000,344899876046837,344899876548181,344899876597421,344899876597032
15,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,18,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4256.0000000000,64.0000000000,4192.0000000000,527.2500000000,2.0000000000,344899876536611,344899876803063,344899876870903,344899876935885
16,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,19,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65678.0000000000,61502.0000000000,4176.0000000000,525.7500000000,2.0000000000,344899876792373,344899877410067,344899877459307,344899877458969
17,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,20,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4244.0000000000,63.0000000000,4181.0000000000,528.0000000000,2.0000000000,344899877401358,344899877661909,344899877728709,344899877809842
18,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,21,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65697.0000000000,61503.0000000000,4194.0000000000,525.7500000000,2.0000000000,344899877651431,344899878249953,344899878299393,344899878300856
19,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,22,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,527.3750000000,2.0000000000,344899878240515,344899878526795,344899878595195,344899878637169
20,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,23,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65690.0000000000,61504.0000000000,4186.0000000000,525.7500000000,2.0000000000,344899878516818,344899879192119,344899879241680,344899879243214
21,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,24,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,527.3750000000,2.0000000000,344899879182603,344899879478081,344899879545482,344899879591656
22,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,27,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65678.0000000000,61502.0000000000,4176.0000000000,525.7500000000,2.0000000000,344899879664857,344899880170456,344899880220296,344899880221292
23,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,28,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4256.0000000000,64.0000000000,4192.0000000000,528.0000000000,2.0000000000,344899880158371,344899880430938,344899880497658,344899880565415
24,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,29,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65678.0000000000,61502.0000000000,4176.0000000000,525.7500000000,2.0000000000,344899880419753,344899881004822,344899881054782,344899881055689
25,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,30,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4258.0000000000,64.0000000000,4194.0000000000,527.5000000000,2.0000000000,344899880992748,344899881270544,344899881338344,344899881387971
26,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,31,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65678.0000000000,61502.0000000000,4176.0000000000,525.7500000000,2.0000000000,344899881261470,344899881889188,344899881939148,344899881940576
