Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,TCP_TOTAL_READ_sum,TCC_READ_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
55,"softmax_bias_kernel.kd",4,0,65,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289300.0000000000,223638.0000000000,65662.0000000000,327680.0000000000,272884.0000000000,7190.3750000000,1024.0000000000,707884571291151,707884572068686,707884572072406,707884572077437
56,"softmax_bias_kernel.kd",4,0,66,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289301.0000000000,223638.0000000000,65663.0000000000,327680.0000000000,272884.0000000000,7190.2500000000,1024.0000000000,707884572097148,707884572478369,707884572482289,707884572629372
57,"softmax_bias_kernel.kd",4,0,67,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289297.0000000000,223638.0000000000,65659.0000000000,327680.0000000000,272884.0000000000,7190.1250000000,1024.0000000000,707884572505481,707884573273795,707884573277795,707884573279677
58,"softmax_bias_kernel.kd",4,0,68,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289297.0000000000,223638.0000000000,65659.0000000000,327680.0000000000,272884.0000000000,7190.0000000000,1024.0000000000,707884573301677,707884573705519,707884573709519,707884573812682
59,"softmax_bias_kernel.kd",4,0,69,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289296.0000000000,223638.0000000000,65658.0000000000,327680.0000000000,272884.0000000000,7190.1250000000,1024.0000000000,707884573734721,707884574471775,707884574475735,707884574474307
60,"softmax_bias_kernel.kd",4,0,70,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289300.0000000000,223638.0000000000,65662.0000000000,327680.0000000000,272884.0000000000,7190.0000000000,1024.0000000000,707884574499797,707884575197341,707884575201301,707884575208873
61,"softmax_bias_kernel.kd",4,0,71,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289299.0000000000,223638.0000000000,65661.0000000000,327680.0000000000,272884.0000000000,7189.5000000000,1024.0000000000,707884575225003,707884575929667,707884575933587,707884575940819
62,"softmax_bias_kernel.kd",4,0,72,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289300.0000000000,223638.0000000000,65662.0000000000,327680.0000000000,272885.0000000000,7189.8750000000,1024.0000000000,707884575956279,707884576697513,707884576701433,707884576702975
63,"softmax_bias_kernel.kd",4,0,73,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289300.0000000000,223638.0000000000,65662.0000000000,327680.0000000000,272884.0000000000,7190.0000000000,1024.0000000000,707884576726805,707884577491240,707884577495200,707884577497252
64,"softmax_bias_kernel.kd",4,0,74,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289298.0000000000,223638.0000000000,65660.0000000000,327680.0000000000,272884.0000000000,7190.2500000000,1024.0000000000,707884577519192,707884578265546,707884578269506,707884578272738
65,"softmax_bias_kernel.kd",4,0,75,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289301.0000000000,223638.0000000000,65663.0000000000,327680.0000000000,272884.0000000000,7190.0000000000,1024.0000000000,707884578294618,707884578913671,707884578917631,707884578923623
66,"softmax_bias_kernel.kd",4,0,76,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289298.0000000000,223638.0000000000,65660.0000000000,327680.0000000000,272884.0000000000,7189.7500000000,1024.0000000000,707884578943973,707884579712478,707884579716358,707884579719990
