Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,TCP_TOTAL_READ_sum,TCC_READ_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
55,"softmax_bias_kernel.kd",4,0,65,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35316.0000000000,10646.0000000000,24670.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862313108302,707862313787754,707862313790514,707862313795398
56,"softmax_bias_kernel.kd",4,0,66,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35317.0000000000,10646.0000000000,24671.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862313818168,707862314209677,707862314215837,707862314302502
57,"softmax_bias_kernel.kd",4,0,67,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35316.0000000000,10646.0000000000,24670.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862314232402,707862314858723,707862314861523,707862314860567
58,"softmax_bias_kernel.kd",4,0,68,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862314886687,707862315537808,707862315540528,707862315540773
59,"softmax_bias_kernel.kd",4,0,69,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862315565833,707862316194444,707862316197204,707862316201718
60,"softmax_bias_kernel.kd",4,0,70,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18935.0000000000,2067.2500000000,1024.0000000000,707862316221358,707862316871769,707862316874569,707862316877184
61,"softmax_bias_kernel.kd",4,0,71,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862316900024,707862317542875,707862317545675,707862317548100
62,"softmax_bias_kernel.kd",4,0,72,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862317567920,707862318236801,707862318239561,707862318244885
63,"softmax_bias_kernel.kd",4,0,73,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35329.0000000000,10646.0000000000,24683.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862318264336,707862318954127,707862318956887,707862318957012
64,"softmax_bias_kernel.kd",4,0,74,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35316.0000000000,10646.0000000000,24670.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862318980172,707862319646612,707862319649372,707862319651477
